"","product_name","brand","description","series","attribute","label","rate","popularity","fire","purchase","price"
"1","雙重記憶美睫捲翹膏(防水纖長)","KATE TOKYO 凱婷","記憶睫毛理想的捲翹弧度
應用毛髮研究技術，固定維持捲翹弧度
由睫毛內外兩側固定弧度的雙重記憶捲翹配方
睫毛內外雙重固定，維持美睫捲翹弧度

【內側固定】添加滲透型捲翹固定成分（蘋果酸、萘磺酸鈉）
滲透至睫毛內部的成分，保持捲翹。
【外側固定】添加捲翹護膜成分（微晶蠟）
輕盈蠟質成分，固定睫毛有彈性的捲翹弧度。

根根分明纖長粧感
延伸纖長纖維※
添加3mm、2mm兩種纖維，附著於睫毛結合為一體，刷出根根分明存在感十足的纖長睫毛。※聚醯胺6、聚醯胺66、矽石、二氧化鈦
再細小睫毛也能抓住
採用靈活自在的微型刷頭，即使眼際處的較短睫毛也不遺漏，確實緊緊抓附，令睫毛根根分明不糾結，打造美麗弧度的粧感。
防水效果  
耐汗水、耐淚液、耐皮脂。

使用方法: 
1.先用睫毛夾將睫毛夾翹。
2.將刷頭外側沿著睫毛根部，朝尾端慢慢向上拉提刷開，使睫毛捲翹增長。
3.下睫毛及眼尾請使用刷頭的前端，小心刷開。
","睫毛","睫毛膏","不易暈染、不易掉色、放大電眼、不結塊、好上手、新品、日本、不打結、持久、捲翹、根根分明、自然、好卸、不結塊、好上手、不暈染、不產生蟑螂腳、防水、纖長、輕盈、耐汗、@cosme store、J-Beauty",5.8,12364,39,9,390
"2","花漾美姬瞬翹自然捲纖長防水睫毛膏","KISS ME開架","2017春季新品-玫瑰棕6g/NT$399
▶產品特色：
1.帶點紅色的浪漫玫瑰棕色
最適合亞洲人的眼球，抹上後立即可綻放出溫柔的神情
2.超濃密UP↑
豐盈不糾結粉末添加
3.全日鎖定捲翹
配合瞬間鎖定成分・持久定型Polymer
4.添加睫毛美容液成分
山茶花油、蜂王乳萃取精華、摩洛哥堅果油、野玫瑰油(睫毛保護成分)
5.抗水、抗皮脂、防摩擦、不暈染



(2017.03上市)

產品特色：
1.超纖長UP↑
超纖長5mm超長纖維成分添加，打造纖長睫毛。
2.彎月型刷頭，手感UP↑
與新翹力相同的刷頭形狀，並改良成更好刷的刷毛。

塗刷方式：
使用刷頭內側捲曲處，在睫毛根部z字型來回輕輕擺動後，直接不擺動地向上塗刷滑至睫毛尾端。
 
卸除方式：
在洗臉前先沾濕睫毛後，使用一般的卸妝產品輕輕搓揉洗淨。

(2016.04上市)
","花漾美姬系列","睫毛膏","不易暈染、不易掉色、放大電眼、紫色系、不結塊、好上手、得賞品、日本、不打結、豐盈、持久、定型、捲翹、根根分明、自然、不結塊、好上手、不暈染、不產生蟑螂腳、防水、纖長、濃密、J-Beauty",6.1,58952,99,174,399
"3","超現實激長睫毛膏 (防水型)","MAJOLICA MAJORCA 戀愛魔鏡","2018.11限量上市
超現實激長睫毛膏-美人魚精靈
6g/NT$340 (BK999)
2018.09 限量新色
共1色
","眼部","睫毛膏","不易暈染、不易掉色、放大電眼、紅色系、不結塊、好上手、得賞品、日本、柔嫩、修護、滋潤、滋養、保濕、持久、捲翹、根根分明、明亮、自然、不結塊、好上手、不暈染、光滑、強韌、閃爍、不產生蟑螂腳、彈力、防水、纖長、濃密、細緻、@cosme store、J-Beauty",6.1,101790,120,182,340
"4","花漾美姬瞬翹自然捲濃密防水睫毛膏","KISS ME開架","2017春季新品-玫瑰棕6g/NT$399
▶產品特色：
1.帶點紅色的浪漫玫瑰棕色
最適合亞洲人的眼球，抹上後立即可綻放出溫柔的神情
2.超濃密UP↑
豐盈不糾結粉末添加
3.全日鎖定捲翹
配合瞬間鎖定成分・持久定型Polymer
4.添加睫毛美容液成分
山茶花油、蜂王乳萃取精華、摩洛哥堅果油、野玫瑰油(睫毛保護成分)
5.抗水、抗皮脂、防摩擦、不暈染



(2017.03上市)

產品特色：
1.超濃密UP↑
添加超濃密豐盈不糾結粉末，重複塗刷不怕結塊。
2.270 °弦月刷頭
270 °弦月凹槽型刷頭與波浪狀刷毛，輕鬆沾附睫毛膏不失手。
 3.2MM纖維，濃密x纖長UP！
配合2MM纖維，可完整包覆根根睫毛最尾端，濃密x纖長UP！
 
塗刷方式：
建議使用刷頭內側捲曲處，在睫毛根部Z字型來回，輕輕擺動後直接不擺動地向上塗刷滑至睫毛尾端。
 
卸除方式：
在洗臉前先沾濕睫毛後，使用一般的卸妝產品輕輕搓揉洗淨。

(2016.04上市)
","花漾美姬系列","睫毛膏","不易暈染、不易掉色、放大電眼、不結塊、好上手、得賞品、日本、不打結、豐盈、持久、定型、捲翹、根根分明、自然、不結塊、好上手、不暈染、不產生蟑螂腳、防水、纖長、濃密、J-Beauty",6,45926,80,141,399
"5","根根分明細部睫毛膏 Skinny Microcara","innisfree","色號：0102","彩妝系列","睫毛膏","不易暈染、不易掉色、放大電眼、不結塊、好上手、韓國、持久、根根分明、自然、好卸、無香味、不結塊、好上手、不暈染、不產生蟑螂腳、纖長",5.7,40019,25,57,370
"6","纖長極細睫毛膏 Skinnny Brush Mascara","F.O.X美妝","超細刷頭,根據東方人睫毛細軟所研發的刷頭!常為刷下睫毛而弄髒眼妝而苦惱嗎?獨創超細刷頭,讓刷下睫毛變的輕而易舉,根根分明不糾結,並且長效防水不暈染!

(2017.01上市)
","眼部彩妝","睫毛膏","不易暈染、不易掉色、放大電眼、不結塊、好上手、不打結、持久、根根分明、自然、好卸、不結塊、好上手、不暈染、不產生蟑螂腳、防水、纖長",5.1,1599,21,0,420
"7","魔幻睫毛膏(加倍濃密VOP)","EYEMANIA",NA,"彩妝系列","睫毛膏","不易暈染、不易掉色、放大電眼、日本、持久、捲翹、好卸、不暈染、纖長、@cosme store、J-Beauty",4.6,337,0,0,550
"8","花漾美姬新翹力濃密防水睫毛膏","KISS ME開架","1.超濃密UP
新式濃密粉末搭配強化版根根分明粒子，展現深邃濃密感，有效創造假眼線效果！睫毛不糾結，如羽扇般的濃密美睫。
2.金字塔紡錘型刷頭
精密溝槽設計，能準確沾取睫毛膏液，細緻刷毛使睫毛膏液能完整包覆睫毛，刷頭前端處，可輕鬆塗刷睫毛細微處與下睫毛。
＊使用方法：
STEP1.溝槽中富含睫毛膏液，能於刷拭時完美將睫毛膏附著於每根睫毛上。
STEP2.刷頭前端處，可輕鬆塗刷睫毛細微處與下睫毛。
(2014.04上市)
【北市衛粧廣字第104080788號】

 
","花漾美姬系列","睫毛膏","不易暈染、不易掉色、放大電眼、不結塊、好上手、春季、日本、不打結、持久、捲翹、根根分明、自然、不結塊、好上手、不暈染、不產生蟑螂腳、深邃、防水、纖長、濃密、細緻、J-Beauty",5.8,11720,25,106,390
"9","挺飛翹纖長防水睫毛膏","MAYBELLINE 媚比琳","極輕盈！睫毛如天使羽翼般細緻纖長
美睫根根分明，眼尾飛翹天際全面擴張

●創新飛翹WING梳型刷頭  纖長美睫x眼尾飛翹
能毫不費力將每根細小睫毛梳開，不易沾染、拒絕糾結，根根分明一秒順梳，塗刷下睫毛也非常適合！刷頭完美結合前端短齒距與尾端長齒距，讓眼尾如天使羽翼般明顯增長，睫毛從根部起飛翹挺立、極輕盈不厚重。擺脫過度誇張濃密的俗艷感，輕鬆用睫毛膏就能刷新自然細緻美睫，打造毫不造作的深邃性感眼眸。

●濃黑防水塑型膏體 防水抗暈不妥協
質地細緻滑順的濃黑防水塑型膏體，讓睫毛從根部至尖端都能均勻不結塊。優異抗暈染配方，防水、防油、抗汗一次到位，不暈染不崩塌，眼妝持久完美定格。

●經敏感測試通過
不熏眼、不刺激，配戴隱形眼鏡也能安心使用。

(2018.01上市)
","眼部彩妝","睫毛膏","顯色度佳、不易暈染、不易掉色、放大電眼、不結塊、好上手、美國、持久、捲翹、根根分明、自然、好卸、防油、不結塊、好上手、顯色、不暈染、不產生蟑螂腳、深邃、防水、纖長、濃密、細緻、不厚重、輕盈、耐汗",5.5,18504,35,19,420
"10","輕盈美睫精萃睫毛膏-彎彎翹麗","INTEGRATE 櫻特芮","「輕盈美睫精萃睫毛膏系列」，全系列皆添加養護精萃「毛鱗片美容配方」與「受損修護成分」，可以邊刷邊保養，在纖細而容易受損的睫毛毛鱗片外形成一層保護膜，讓細小睫毛更加強韌有活力，不再脆弱。全系列共五款，專為不同睫毛妝效需求開發，從睫毛開始，讓大人女孩眼神更迷人！

此外添加含有捲翹補強纖維的「纖長捲翹配方」，並且強力防水・抗汗・防皮脂，不易暈染，還能夠長效形狀記憶、維持完美捲翹的睫毛妝容。再運用特殊開發的「弧型梳狀雙刷頭」隨刷頭精準的圓弧角度自睫毛根部抓附睫毛，可刷出毛束感，為睫毛濃密增量，向上立體捲翹，創造美睫輕盈上揚的明亮印象，實現具有可愛活潑感的眼神。
","睫毛","睫毛膏","不易暈染、放大電眼、日本、修護、捲翹、明亮、防油、強韌、防水、纖長、濃密、輕盈、@cosme store、J-Beauty",4.3,2050,20,8,360
