"","product_name","brand","description","series","attribute","label","rate","popularity","fire","purchase","price"
"1","渲漾水色唇膏","OPERA",NA,"彩妝系列","唇膏","顯色度佳、不易掉色、紅色系、橘色系、粉色系、桃紅色系、好上手、日本、柔順、滋潤、保濕、持久、不黏膩、明亮、自然、粉嫩、好上手、好上色、顯色、好氣色、改善唇紋、J-Beauty",6.4,184676,284,200,380
"2","經典璀璨唇膏","REVLON 露華濃","2018.08 自信限定版
共4色
","唇部彩妝","唇膏","顯色度佳、不易掉色、紅色系、酒紅色系、橘色系、粉色系、桃紅色系、遮蓋唇色、好上手、得賞品、美國、滋潤、保濕、持久、不黏膩、明亮、自然、遮蓋唇色、好上手、顯色、好氣色、細緻、微醺酒紅調",6.4,513186,321,546,240
"3","情挑誘光水唇膏","YSL 聖羅蘭","2018.05 限量夏妝彩妝新2色
NT$1,280
2018.03 春季彩妝新2色
NT$1,280
用最迷幻，同時有些霓光的珊瑚色以及一次融合莓果紅、粉紅、紅色的最不羈的桃紅色彩，為妳妝點春漾女神的完美靈氣唇色！
2017.11 夜燦巴黎系列
NT$1,250
全新限量YSL情挑誘光水唇膏以4種煙火盛放瞬間的顏色為靈感，同時透過YSL獨有的溫熱導入科技加上特別調配的全效保養配方，將所有雙唇需要的保養精華，一次注入這支極為柔潤保濕的唇膏中，一抹水潤透亮，讓女人每次使用唇膏，都享有無比舒適的潤澤感受與豐唇效果，塗抹瞬間，妳的雙唇，就是最美麗的煙火顏色，同時，更是每一次都讓他忍不住想要親吻！

共4色
#No 63星爍玫瑰
#No 64繽紛紫紅
#No 65絢爛珊瑚
#No 66金燦粉紅

(2017.11限量上市)
","唇部彩妝","唇膏","顯色度佳、不易掉色、紅色系、酒紅色系、橘色系、紫色系、粉色系、桃紅色系、遮蓋唇色、好上手、得賞品、春季、秋季、冬季、法國、柔嫩、滋潤、保濕、持久、不黏膩、明亮、自然、香氣怡人、遮蓋唇色、好上手、顯色、好氣色、乾爽、改善唇紋、細緻、微醺酒紅調",6.4,575433,1594,1193,1280
"4","極綻色絲絨霧光唇膏","MAYBELLINE 媚比琳","2018.02 GIGI HADID聯名款
3.9g/NT$380

全6色
#謎紅GG22 Austyn
#酷紅GG23 khair
#嗆紅GG24 Lani
#輕裸GG09 Mccall
#蜜裸GG10 Taura
#靚裸GG11 Erin

(2018.02限量上市)
","唇部彩妝","唇膏","顯色度佳、不易掉色、紅色系、裸色系、酒紅色系、橘色系、紫色系、遮蓋唇色、好上手、得賞品、美國、柔順、保濕、持久、不黏膩、自然、遮蓋唇色、好上手、好上色、顯色、延展度佳、好氣色、霧面、細緻、微醺酒紅調、霧面唇",6.2,95802,133,170,360
"5","迷戀輕吻唇膏 Crushed Lip Color","BOBBI BROWN 芭比波朗","2018.04限量聯名新色
共3色
","唇部彩妝","唇膏","顯色度佳、不易掉色、紅色系、大地色系、裸色系、酒紅色系、橘色系、紫色系、粉色系、桃紅色系、遮蓋唇色、好上手、美國、柔嫩、柔順、滋潤、持久、不黏膩、不油膩、明亮、自然、好卸、無負擔、遮蓋唇色、粉嫩、服貼、好上手、好上色、顯色、好氣色、細緻、輕盈、微醺酒紅調",6.2,51464,94,62,1050
"6","純色訂製唇膏(柔霧款)-女力狂潮","L`OREAL PARiS 巴黎萊雅","「純色訂製唇膏系列」褪去柔金包裝，打造純黑個性派訂製時尚，熱賣實用色顛覆色彩刻板印象，柔霧顯色粒子x珍稀植萃精華油x光感複合物，絕美柔霧個性唇。柔霧顯色粒子結合光感複合物，立體飽和柔霧零唇紋。專櫃級珍稀植萃精華油，保濕不乾燥。
共12色
","唇彩","唇膏","顯色度佳、不易掉色、紅色系、裸色系、酒紅色系、橘色系、粉色系、桃紅色系、遮蓋唇色、好上手、新品、法國、柔順、滋潤、保濕、持久、不黏膩、自然、好卸、遮蓋唇色、好上手、好上色、顯色、好氣色、霧面、細緻、微醺酒紅調、霧面唇",6,16287,34,23,420
"7","激蜜輕吻唇膏","SHISEIDO 資生堂-國際櫃","以創新三重水凝科技，及高達15%的水凝配方，其極輕薄的舒適質地，讓妳於雙唇輕輕一抹，都能感受到極致滑順，塗擦於雙唇瞬間就能化開，潤澤又超保濕，呈現絲緞般的水霧質感，輕盈的超顯色，全天候潤澤持色。
共28色
","玩色革命系列","唇膏","顯色度佳、不易掉色、紅色系、大地色系、裸色系、酒紅色系、橘色系、紫色系、粉色系、桃紅色系、遮蓋唇色、好上手、日本、柔順、滋潤、保濕、持久、不黏膩、不油膩、自然、遮蓋唇色、好上手、好上色、顯色、好氣色、改善唇紋、薄透、細緻、輕盈、微醺酒紅調、J-Beauty",5.8,8611,14,9,1000
"8","超惹火唇膏","Dior 迪奧","2018.08 限量色
共2色
","唇部彩妝","唇膏","顯色度佳、不易掉色、紅色系、酒紅色系、橘色系、紫色系、黑灰色系、銀白色系、粉色系、桃紅色系、遮蓋唇色、好上手、新品、法國、柔順、滋潤、保濕、持久、不黏膩、明亮、好卸、遮蓋唇色、好上手、好上色、顯色、好氣色、改善唇紋、霧面、輕盈、微醺酒紅調、霧面唇、特殊色唇彩",5.8,7650,26,9,1200
"9","奢華皮革訂製唇膏","L`OREAL PARiS 巴黎萊雅","*精品皮革訂製唇膏 與奢華同行
-重金訂製低調細緻皮革包裝
-今年秋冬用雙唇演繹出 專屬的皮革時尚新態度 
*#小棕皮 玩轉絲絨柔霧唇X亮澤光感唇 打造時尚「皮氣感」
-注入滿滿專櫃等級的珍稀植物萃取精華油成分，及保濕鎖水因子
-唇色顯色又飽和呈絲絨霧面感卻保濕不卡紋
-雙唇閃耀低調卻不俗氣的質感亮澤光
*全新6色霧亮酷感質地 主宰秋冬時尚 #有皮氣才有型
-「奢華皮革訂製唇膏」限量款將滿足全方位風格的美妝迷
-釋放心中包袱，雙唇顯現飽和顏彩，創造奔放新態度#有皮氣才有型

 
*精品皮革訂製唇膏 與奢華同行
-重金訂製低調細緻皮革包裝
-今年秋冬用雙唇演繹出 專屬的皮革時尚新態度 
*#小棕皮 玩轉絲絨柔霧唇X亮澤光感唇 打造時尚「皮氣感」
-注入滿滿專櫃等級的珍稀植物萃取精華油成分，及保濕鎖水因子
-唇色顯色又飽和呈絲絨霧面感卻保濕不卡紋
-雙唇閃耀低調卻不俗氣的質感亮澤光
*全新6色霧亮酷感質地 主宰秋冬時尚 #有皮氣才有型
-「奢華皮革訂製唇膏」限量款將滿足全方位風格的美妝迷
-釋放心中包袱，雙唇顯現飽和顏彩，創造奔放新態度#有皮氣才有型

 
","唇彩","唇膏","顯色度佳、不易掉色、紅色系、大地色系、橘色系、遮蓋唇色、好上手、新品、限量、法國、柔順、保濕、持久、不黏膩、自然、好卸、遮蓋唇色、好上色、顯色、好氣色、霧面、細緻、霧面唇",5.8,6703,23,14,470
"10","奢華緞面唇膏 ROUGE PUR COUTURE","YSL 聖羅蘭","2018.08 闇紫誘惑
共2色
2018.07 限量上市
#84赤裸高潮 
2017.11 煙火限定版

NT$1,250

自1978年聖羅蘭先生推出第一支奢華緞面唇膏，便將巴黎時裝伸展台的奢華優雅延伸到女人的容顏，從此實現了每一個YSL對於美麗的無限渴望，2017年的奢華緞面唇膏煙火限定版，不只紀念奢華緞面唇膏的40年，更是同步重現了1978年推出的高級訂製奢華煙火圖騰刺繡晚禮服，不僅唇膏的外型設計有著最璀璨的煙火圖騰外，就連唇膏上都有絢爛奪目的煙火圖騰，彷彿每一次上妝，都像是最美麗的煙火在妳雙唇上盛放！

 

共6色

#No 01 

#No 09 

#No 13

#No 19 

#No 52 

#No 70

 

(2017.11限量上市)
","唇部彩妝","唇膏","顯色度佳、不易暈染、不易掉色、紅色系、裸色系、紫色系、粉色系、遮蓋唇色、好上手、得賞品、夏季、秋季、冬季、法國、柔順、滋潤、保濕、持久、不黏膩、明亮、自然、遮蓋唇色、好上手、顯色、不暈染、光滑、好氣色、霧面、飽滿、細緻、霜狀、霧面唇",6,71074,186,224,1150
