"","product_name","brand","description","series","attribute","label","rate","popularity","fire","purchase","price"
"1","超輕感全效防曬霜SPF50+/PA++++","SK-II","保養專家SK-II防曬精華升級再進化──推出史上第一最高係數SPF50+/ PA++++如空氣般輕盈無負擔的防曬精華霜「SK-II超輕感全效防曬霜」，讓您更輕鬆、清爽的呵護皮膚。研發獨家「超寬頻防禦複方」，打造肌膚全效隱形防護罩，一個步驟即可對抗UV，影響肌膚老化的環境因子，即時提供防禦，同步修護肌膚。

SK-II超輕感全效防曬霜含有珍貴濃縮PITERATM，結合「超寬頻防禦複方」及SPF50+/ PA++++的防曬係數，擦在皮膚上形成天然全效隱形防護罩，能隔離紫外線UV傷害，並幫助肌膚保持高規格的亮膚效果；此外「超寬頻防禦複方」新添加仙人掌萃取，仙人掌果實富含礦物質、脂肪酸與胡蘿蔔素，能有效吸收水分滋潤肌膚，保持肌膚潤澤細嫩，達到清爽且溫和不易刺激的肌膚防護效果。

濃縮PITERATM：促進肌膚角質新陳代謝，改善肌膚暗沉；並具有優異的修護肌膚能力，使皮膚健康飽滿、肌膚更加透亮。

日本杏精萃：SK-II獨家成份，有效幫助肌膚從底層改善黯沉，達到膚色提亮與提升膚色均勻。

仙人掌萃取：仙人掌果實富含礦物質、脂肪酸與胡蘿蔔素，能有效吸收水分滋潤肌膚，保持肌膚潤澤細嫩，達到清爽且溫和不易刺激的肌膚防護效果
","美白防曬隔離","臉部防曬","日本、柔嫩、修護、滋潤、保濕、不黏膩、不油膩、溫和、明亮、自然、不致粉刺、無負擔、好吸收、香味、均勻膚色、服貼、好上手、延展度佳、改善暗沉、乾爽、不悶、不泛白、防曬、薄透、飽滿、細緻、隔離、不厚重、輕盈、提亮、J-Beauty",6.1,29122,60,8,2500
"2","水潤肌柔光透亮防曬飾底凝露SPF50+/PA++++","MENTHOLATUM 曼秀雷敦","-SPF50+ PA++++防曬力  
-薰衣草紫色調交織出的白皙素肌
薰衣草紫色調以透明藍調提升肌膚透亮感與血色粉紅呈現出紅潤感，一抹即可掃除肌膚蠟黃暗沉，防曬同時也能擁有輕透勻亮白皙素肌。
-「細微光感微粒」呈現立體光澤感的無暇肌
添加獨特革命性「細微光感微粒」能360度反射光線，像是自帶光圈般，展現淡淡光澤感的無暇肌，肌膚線條更立體明亮。
-長效保濕超水感
富含玻尿酸鈉、維他命C衍生物及植物精萃多重保濕成份，有效提升肌膚保水機制，在炎熱陽光下可以長時間維持肌膚的水潤清透。
-臉部/身體適用，質地清爽不黏膩
帶有淡淡香氣的防曬，質地清爽的像沒擦過防曬一樣。做為妝前飾底使用，給予底妝全日水潤，妝感更服貼更持久! 塗抹於身體，能調節暗沉膚色，夏天露再多也不擔心膚色不均!
-耐水耐汗，不須專用卸妝品，肥皂即可輕鬆卸除

(2018.04上市)
","水潤肌防曬系列","臉部防曬","防曬係數彩妝、不泛白防曬、自然不厚重、美白、服貼、得賞品、日本、美國、柔嫩、保濕、持久、不黏膩、不油膩、明亮、自然、好吸收、服貼、好氣色、乾爽、不悶、不泛白、防曬、潤色、薄透、修飾、隔離、耐汗、裸妝、潤色防曬、水光妝、J-Beauty",6.1,208424,320,164,339
"3","全護清爽防曬液UVA PRO 潤色SPF50/PPD33 UVIDEA XL Cream 50 SPF50/PPD33","LA ROCHE-POSAY 理膚寶水","＊革新性長波UVA防曬濾劑Uvinul A+R及專利防曬成分MexorylR SX+XL協同作用，提供超高SPF50的UVB及PPD33 的UVA與強化長波UVA的防護力＊「DETOXYLR (雪亞脂萃取物)抗氧化因子」及維他命E，達到抗氧化功效\r
＊理膚寶水溫泉水，實驗證實能舒緩、鎮靜、抗敏感＊極度清爽不生粉刺配方，通過亞洲敏感性皮膚測試，不含香精、Paraben類防腐劑＊適合妝前隔離遮瑕，具長效保濕效果、妝前持久不黯沉不泛白＊適用：－需求極度清爽質地之臉部防曬/隔離產品－夏季/特殊場合，尋求臉部高度UV防護需求者－潤色需求者/醫美術後使用/敏感性皮膚/所有膚質(2014.04上市)","UVIDEA 全護臉部清爽防曬系列","臉部防曬","法國、舒緩、保濕、持久、不黏膩、溫和、明亮、自然、不致粉刺、遮瑕、均勻膚色、乾爽、不悶、不泛白、防曬、潤色、隔離、乳狀、SPF50以上、潤色防曬",5.7,125915,191,352,980
"4","芯美顏美白瀅潤日間防禦乳升級版(清爽型)SPF50+/PA++++","SOFINA 蘇菲娜","給易暗沉、缺乏彈潤力的輕熟齡肌，賦予高滋潤成分，實現彈力緊緻，深入研究肌膚與生俱來的保濕作用，提升角質層的「滋潤力」維持健康。

 <高保濕Ceramide成分配合※>
守護肌膚不受紫外線或是空調等日間乾燥的影響，持續滋潤一整天※1 。
高保濕Ceramide配方，守護補充Ceramide的作用，給予肌膚滋潤的保養
添加iTPS複合體※2(保濕)
以月下香花瓣耗費約3年所培養出的成分，搭配嚴選植物菁華。
※保濕成分: Cetyl-PG Hydroxyethyl Palmitamide
※1: 從早上使用後至夜晚卸妝為止
※2: 月下香多醣體、尤加利菁華、 生薑菁華、甘油""

長時間防禦紫外線UV-A & UV-B
紫外線UV-A主要可以到達肌膚深處，導致肌膚的張力．彈性降低，紫外線UV-B主要是造成肌膚表面部分出現斑點的原因。

可作為隔離霜、妝前飾底乳使用。

淡雅花系香氛。

 
","beaute芯美顏美白瀅潤系列","臉部防曬","水煮蛋肌、日本、滋潤、保濕、不黏膩、不油膩、緊緻毛孔、自然、好吸收、淡化斑點、香味、好上手、延展度佳、乾爽、不悶、不泛白、彈力、防曬、薄透、隔離、不厚重、@cosme store、J-Beauty",5.9,7689,28,8,950
"5","超輕盈UV水凝露SPF50/PA++++","LANCOME 蘭蔻","NO.1防曬經典再進化－全新超輕盈UV水凝露 ，除了延續SPF50與PA++++的最高UV防護規格，更是業界首創，將滿滿的玫瑰水精萃注入UV防曬產品，肌膚完全感受不到油，只會感受到極致水感！打造前所未見的花瓣級輕盈防曬．

100%玫瑰水精萃：不只無油 更加水感保濕 防曬超輕盈
突破無油質地的限制，蘊含滿滿的玫瑰水精萃，推開即化為水狀，為肌膚由裡而外注入水感。配方溫和，可以舒緩定安肌膚。
除了玫瑰水精萃，還添加了黃芩、辣木子、薄荷萃取，給肌膚全天候的保濕，24小時不乾不悶不起屑! 爽膚質感，讓毛孔不阻塞，就連粉刺與痘痘肌也適用！

蘭蔻3D專利隔離科技，結合了最新三大防護專利，除了原有的Mexoryl ®XL + Mexoryl® SX 這兩個專利外，再新搭配了Tinosorb® S ，幫肌膚建立起完美的光平衡防禦網，讓肌膚不曬黑不曬老，定格於白晳年輕！

(2017.02上市)
","超輕盈柔白隔離系列","臉部防曬","得賞品、法國、舒緩、保濕、不黏膩、不油膩、溫和、明亮、不致粉刺、無負擔、好吸收、好上手、乾爽、不悶、不泛白、防曬、薄透、隔離、輕盈、無油、SPF50以上、2018週年慶",6,81163,177,109,1950
"6","芯美顏保濕日間防禦乳升級版(清爽型)SPF50+/PA++++","SOFINA 蘇菲娜","月下香內蘊神祕能量，肌膚從此煥然新生    
釋放出神秘迷人香氛的月下香，其花瓣具有促進肌膚角質代謝更新的卓越功效。日本花王在1980年代注意到月下香的神秘性，於是開始著手研究。科學家們經過多年的發現，在嚴苛外部環境存活下來的花瓣細胞會大量分泌並生產具有黏性的液體。而這個有黏性的液體，將會保護肌膚不被乾燥影響！

商品成分:
<高保濕Ceramide成分配合>
守護肌膚，持續滋潤一整天※1。高保濕Ceramide配方，守護補充Ceramide的作用，給予肌膚滋潤的保養
添加iTPS複合體※2(保濕)
以月下香花瓣耗費約3年所培養出的成分，搭配嚴選植物菁華。

※保濕成分: Cetyl-PG Hydroxyethyl Palmitamide
※1: 從早上使用後至夜晚卸妝為止
※2: 月下香多醣體、尤加利菁華、 生薑菁華、甘油
•可作為隔離霜、妝前飾底乳使用。

(2017.06上市)
","beaute 芯美顏系列","臉部防曬","日本、滋潤、保濕、不黏膩、不油膩、溫和、明亮、不致粉刺、無負擔、好吸收、服貼、乾爽、不悶、不泛白、防曬、薄透、隔離、改善乾燥、SPF50以上、J-Beauty",5.9,57669,91,19,900
"7","全護清爽防曬亮白乳SPF50+/PPD18.1 (PA++++) UVIDEA XL Tone-up light cream UVA PRO SPF50+ PPD18.1 (PA++++)","LA ROCHE-POSAY 理膚寶水","-加入『維他命E』、『雪亞脂』及『理膚寶水溫泉水』等高效修復與保濕配方，清爽不油膩質地，使用後肌膚更顯水潤柔嫩。
-加入『礦物明亮色澤配方』純礦物二氧化鈦與雲母成分，使用後五秒瞬效提亮均勻膚色，展現自然與無瑕裸亮光采。
-極高安全性、無香精、無Parabens類防腐劑
","UVIDEA 全護臉部清爽防曬系列","臉部防曬","法國、柔嫩、保濕、不油膩、溫和、明亮、自然、不致粉刺、均勻膚色、延展度佳、乾爽、不悶、不泛白、防曬、提亮、SPF50以上、無香料",5.8,16445,62,36,980
"8","全護水感清透防曬露UVA PRO透明色SPF50/PPD21 UVIDEA AQUA FRESH GEL 50","LA ROCHE-POSAY 理膚寶水","適用-適油性肌，男女均適用-需求極度清爽質地之臉部防曬/隔離產品-夏季/特殊場合，尋求臉部高度UV防護需求者-醫美術後使用/敏感性皮膚/所有膚質特點-革新性長波UVA防曬濾劑Uvinul A+R及專利防曬強化成分MexorylR SX+XL協同，提供高SPF50的UVB與PPD21的UVA，以及強化長波UVA的防護力-極度清爽及保濕的水感質地配方，使妝效持久不黯沉-具有效控油之油脂調理配方-含理膚寶水溫泉水，實驗證實能舒緩、鎮靜、抗敏感(2015.03上市)","UVIDEA 全護臉部清爽防曬系列","臉部防曬","得賞品、法國、舒緩、保濕、持久、不黏膩、不油膩、溫和、明亮、自然、不致粉刺、無負擔、好上手、乾爽、不悶、不泛白、控油、防曬、薄透、隔離、SPF50以上",5.8,82253,111,86,980
"9","極緻全護低敏防曬霜SPF50+UVA28 UVA/UVB Defense","Cetaphil 舒特膚","8重防護力，具UVA及 UVB完整防護特性。光穩定性及防水性佳，保障及提升防曬功效。同時具長效保濕效果。 質地清爽無負擔。","防曬系列","臉部防曬","不泛白防曬、美國、保濕、不黏膩、不油膩、溫和、不致粉刺、無負擔、無香味、好上手、乾爽、不悶、不泛白、防曬、防水、乳狀、SPF50以上",5.6,102595,83,41,800
"10","全日保濕防曬乳SPF50+/PA+++ UV HYDRATING LOTION WITH HYALURONIC ACID","DR.WU 達爾膚醫美保養系列","Sunscreen+智能高效防護機制，運用特殊防曬成分Tinosorb S，能有效阻隔UVB、長波UVA及短波UVA對肌膚的傷害，清爽水乳劑型，添加玻尿酸及複合式分子酊及薄荷、茶樹精油，能立即保濕補水預防水分流失，同時沁涼降膚溫，肌膚長效水潤，達到「外防曬＋內修護」功效，防護效果再升級！

偏乾&敏感肌可使用

產品功效
‧   Tinosorb S
寬頻防曬劑，穩定且肌膚負擔小，低刺激性

‧   NASHA級大分子玻尿酸 Sodium Hyaluronate
可抓住高量的水份，能在肌膚表層形成一道水分子網膜，維持並加強角質層保水機能，達到強力鎖水保濕效果

‧   複合式分子酊
模擬天然皮膚脂質，能有效修復，並且保護皮脂屏障

‧   天然長效鎖水因子 Moist 24
長效型保濕因子，能深入肌膚留住水份，充分達到保濕效果

※不含酒精、香精、Paraben類防腐劑與人工色素的溫和配方
"," 全方位防曬系列","臉部防曬","不泛白防曬、台灣、柔嫩、修護、保濕、不黏膩、不油膩、溫和、不致粉刺、無負擔、好吸收、服貼、好上手、延展度佳、乾爽、不悶、不泛白、防曬、防水、薄透、不含酒精、@cosme store",5.6,9147,13,4,800
