"","PreFlop蓋牌率","Flop蓋牌率","Flop中ReRaise率","C-Bet in Flop率"
"aku08",0.440886699507389,0.162650602409639,0.0232558139534884,0.275229357798165
"przemol",0.651254953764861,0.263803680981595,0.0760869565217391,0.192857142857143
"sergey201134",0.388888888888889,0.252631578947368,0,0.5
"bigruboss69",0.753424657534247,0.231404958677686,0.09375,0.198473282442748
"valterghetti",0.617283950617284,0.148936170212766,0.0222222222222222,0.197802197802198
"gary0687",0.185185185185185,0.234567901234568,0.0625,0.230769230769231
"patriot424",0.715179968701095,0.182692307692308,0.0727272727272727,0.352272727272727
"nielsen604",0.368231046931408,0.192857142857143,0.108695652173913,0.288135593220339
"savanta81",0.650717703349282,0.166666666666667,0.120689655172414,0.538461538461538
"NIK_DEPUTAT",0.416666666666667,0.2,0.072289156626506,0.244444444444444
